Date,Open,High,Low,Close,Volume
2021-04-14,2.34,2.4099,2.22,2.28,987372
2021-04-15,2.28,2.319,2.09,2.22,1066653
2021-04-16,2.2,2.23,2.07,2.18,772740
2021-04-19,2.17,2.3,2.05,2.29,1183171
2021-04-20,2.29,2.29,2.11,2.2,784779
2021-04-21,2.11,2.27,2.1,2.23,946576
2021-04-22,2.25,2.33,2.18,2.25,563027
2021-04-23,2.34,2.43,2.25,2.4,1325025
2021-04-26,2.46,2.57,2.39,2.52,1035405
2021-04-27,2.61,2.63,2.35,2.39,1110490
2021-04-28,2.36,2.53,2.33,2.53,646205
2021-04-29,2.49,2.5355,2.36,2.47,568424
2021-04-30,2.4,2.51,2.37,2.4,747304
2021-05-03,2.38,2.4,2.29,2.31,701605
2021-05-04,2.34,2.36,2.18,2.25,1197245
2021-05-05,2.25,2.29,2.13,2.18,817936
2021-05-06,2.2,2.22,2.089,2.16,819788
2021-05-07,2.17,2.24,2.1253,2.17,513185
2021-05-10,2.11,2.14,2.04,2.07,478703
2021-05-11,2.01,2.1884,1.92,2.16,727088
2021-05-12,2.12,2.14,2.0,2.06,590813
2021-05-13,2.06,2.1342,1.9301,1.98,670090
2021-05-14,2.03,2.1,2.0,2.05,589960
2021-05-17,2.05,2.07,1.955,1.98,692732
2021-05-18,1.98,2.22,1.98,2.17,952372
2021-05-19,2.11,2.33,2.09,2.27,752978
2021-05-20,2.25,2.32,2.2,2.26,485787
2021-05-21,2.25,2.3,2.21,2.26,367666
2021-05-24,2.22,2.23,2.06,2.1,486950
2021-05-25,2.11,2.19,2.075,2.09,292119
2021-05-26,2.08,2.16,2.07,2.14,284307
2021-05-27,2.13,2.16,2.03,2.11,358637
2021-05-28,2.1,2.13,2.04,2.12,329709
2021-06-01,2.13,2.14,2.03,2.08,504602
2021-06-02,2.09,2.15,2.03,2.05,529950
2021-06-03,2.04,2.0478,1.98,2.03,540305
2021-06-04,2.01,2.26,2.0,2.22,1080852
2021-06-07,2.21,2.41,2.18,2.37,1100422
2021-06-08,2.3748,2.41,2.17,2.19,755186
2021-06-09,2.25,2.3,2.19,2.3,545636
2021-06-10,2.27,2.34,2.19,2.33,652154
2021-06-11,2.37,2.44,2.33,2.37,621236
2021-06-14,2.37,2.37,2.25,2.28,474069
2021-06-15,2.25,2.25,2.08,2.14,692612
2021-06-16,2.17,2.2,2.1,2.14,387143
2021-06-17,2.12,2.25,2.12,2.19,229853
2021-06-18,2.18,2.2,2.08,2.11,450113
2021-06-21,2.14,2.15,2.06,2.06,381703
2021-06-22,2.11,2.12,2.05,2.09,295350
2021-06-23,2.12,2.17,2.1,2.16,362766
2021-06-24,2.16,2.18,2.1,2.17,274300
2021-06-25,2.14,2.3035,2.14,2.29,699513
2021-06-28,2.22,2.27,2.15,2.19,506351
2021-06-29,2.21,2.35,2.17,2.2,896691
2021-06-30,2.19,2.22,2.1538,2.18,318860
2021-07-01,2.18,2.21,2.12,2.15,262417
2021-07-02,2.14,2.16,2.095,2.1,453109
2021-07-06,2.1,2.1237,2.05,2.06,432224
2021-07-07,2.15,2.15,2.03,2.08,397255
2021-07-08,2.05,2.08,1.96,2.05,537636
2021-07-09,2.1,2.1,2.02,2.05,324817
2021-07-12,2.08,2.09,2.0,2.02,248300
2021-07-13,2.02,2.03,1.9211,1.95,505908
2021-07-14,1.96,1.96,1.8501,1.88,455099
2021-07-15,1.86,1.8828,1.76,1.87,517204
2021-07-16,1.84,1.89,1.78,1.79,264061
